Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3500105;Interior;Adamantina;453;11;;
3500204;Interior;Adolfo;124;5;;
3500303;Interior;Aguaí;364;8;;
3500402;Interior;Águas da Prata;66;5;;
3500501;Interior;Águas de Lindóia;181;5;;
3500550;Interior;Águas de Santa Bárbara;26;1;;
3500600;Interior;Águas de São Pedro;61;1;;
3500709;Interior;Agudos;753;16;;
3500758;Interior;Alambari;84;3;;
3500808;Interior;Alfredo Marcondes;65;3;;
3500907;Interior;Altair;49;3;;
3501004;Interior;Altinópolis;225;8;;
3501103;Interior;Alto Alegre;75;3;;
3501152;Interior;Alumínio;273;9;;
3501202;Interior;Álvares Florence;74;5;;
3501301;Interior;Álvares Machado;281;8;;
3501400;Interior;Álvaro de Carvalho;26;4;;
3501509;Interior;Alvinlândia;27;0;;
3501608;Interior;Americana;5650;172;;
3501707;Interior;Américo Brasiliense;759;14;;
3501806;Interior;Américo de Campos;332;11;;
3501905;Interior;Amparo;1252;32;;
3502002;Interior;Analândia;39;2;;
3502101;Interior;Andradina;1590;49;;
3502200;Interior;Angatuba;328;9;;
3502309;Interior;Anhembi;21;0;;
3502408;Interior;Anhumas;91;0;;
3502507;Interior;Aparecida;518;12;;
3502606;Interior;Aparecida d'Oeste;287;6;;
3502705;Interior;Apiaí;155;6;;
3502754;Interior;Araçariguama;388;9;;
3502804;Interior;Araçatuba;7503;174;;
3502903;Interior;Araçoiaba da Serra;652;12;;
3503000;Interior;Aramina;132;5;;
3503109;Interior;Arandu;54;3;;
3503158;Interior;Arapeí;7;1;;
3503208;Interior;Araraquara;5640;64;;
3503307;Interior;Araras;4965;81;;
3503356;Interior;Arco-Íris;11;0;;
3503406;Interior;Arealva;122;2;;
3503505;Interior;Areias;57;0;;
3503604;Interior;Areiópolis;135;4;;
3503703;Interior;Ariranha;162;7;;
3503802;Interior;Artur Nogueira;1193;29;;
3503901;RMSP (exceto capital);Arujá;2238;94;;
3503950;Interior;Aspásia;48;1;;
3504008;Interior;Assis;1548;26;;
3504107;Interior;Atibaia;2360;66;;
3504206;Interior;Auriflama;486;14;;
3504305;Interior;Avaí;110;2;;
3504404;Interior;Avanhandava;239;7;;
3504503;Interior;Avaré;858;19;;
3504602;Interior;Bady Bassitt;974;22;;
3504701;Interior;Balbinos;105;3;;
3504800;Interior;Bálsamo;560;23;;
3504909;Interior;Bananal;145;1;;
3505005;Interior;Barão de Antonina;23;0;;
3505104;Interior;Barbosa;124;1;;
3505203;Interior;Bariri;1033;28;;
3505302;Interior;Barra Bonita;1061;25;;
3505351;Interior;Barra do Chapéu;51;0;;
3505401;Interior;Barra do Turvo;142;4;;
3505500;Interior;Barretos;5352;146;;
3505609;Interior;Barrinha;753;31;;
3505708;RMSP (exceto capital);Barueri;7827;386;;
3505807;Interior;Bastos;170;4;;
3505906;Interior;Batatais;733;23;;
3506003;Interior;Bauru;14063;250;;
3506102;Interior;Bebedouro;1402;33;;
3506201;Interior;Bento de Abreu;41;0;;
3506300;Interior;Bernardino de Campos;114;3;;
3506359;Interior;Bertioga;2032;45;;
3506409;Interior;Bilac;112;2;;
3506508;Interior;Birigui;2807;88;;
3506607;RMSP (exceto capital);Biritiba Mirim;468;31;;
3506706;Interior;Boa Esperança do Sul;203;6;;
3506805;Interior;Bocaina;171;3;;
3506904;Interior;Bofete;163;4;;
3507001;Interior;Boituva;1224;21;;
3507100;Interior;Bom Jesus dos Perdões;368;3;;
3507159;Interior;Bom Sucesso de Itararé;9;1;;
3507209;Interior;Borá;5;0;;
3507308;Interior;Boracéia;116;2;;
3507407;Interior;Borborema;254;6;;
3507456;Interior;Borebi;49;2;;
3507506;Interior;Botucatu;2671;52;;
3507605;Interior;Bragança Paulista;4114;87;;
3507704;Interior;Braúna;108;7;;
3507753;Interior;Brejo Alegre;92;5;;
3507803;Interior;Brodowski;574;22;;
3507902;Interior;Brotas;140;3;;
3508009;Interior;Buri;301;10;;
3508108;Interior;Buritama;421;14;;
3508207;Interior;Buritizal;59;3;;
3508306;Interior;Cabrália Paulista;102;0;;
3508405;Interior;Cabreúva;1232;40;;
3508504;Interior;Caçapava;1593;60;;
3508603;Interior;Cachoeira Paulista;413;15;;
3508702;Interior;Caconde;175;1;;
3508801;Interior;Cafelândia;346;10;;
3508900;Interior;Caiabu;39;2;;
3509007;RMSP (exceto capital);Caieiras;2397;101;;
3509106;Interior;Caiuá;60;1;;
3509205;RMSP (exceto capital);Cajamar;1640;77;;
3509254;Interior;Cajati;1796;34;;
3509304;Interior;Cajobi;229;7;;
3509403;Interior;Cajuru;484;12;;
3509452;Interior;Campina do Monte Alegre;85;0;;
3509502;Interior;Campinas;34173;1333;;
3509601;Interior;Campo Limpo Paulista;1332;71;;
3509700;Interior;Campos do Jordão;942;30;;
3509809;Interior;Campos Novos Paulista;118;2;;
3509908;Interior;Cananéia;205;8;;
3509957;Interior;Canas;52;2;;
