,NM_UE,NM_PARTIDO,DS_CARGO,DS_NACIONALIDADE,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO,VR_DESPESA_MAX_CAMPANHA,ST_REELEICAO
16,JUNDIAÍ,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,2861007,N
103,MOCOCA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,ODONTÓLOGO,123077,N
156,MONTE CASTELO,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,45,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
163,SÃO SIMÃO,SOLIDARIEDADE,PREFEITO,BRASILEIRA NATA,46,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO,123077,N
174,PIEDADE,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,123077,N
203,MOGI DAS CRUZES,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,1736081,N
213,ESPÍRITO SANTO DO PINHAL,PODEMOS,PREFEITO,BRASILEIRA NATA,68,FEMININO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL,189527,N
252,MIRASSOL,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,66,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,123077,N
257,NOVAIS,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",123077,N
300,BIRITIBA MIRIM,PARTIDO SOCIAL CRISTÃO,PREFEITO,BRASILEIRA NATA,39,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,OUTROS,123077,N
319,JARDINÓPOLIS,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,33,MASCULINO,SUPERIOR COMPLETO,PARDA,ADMINISTRADOR,152986,N
406,SALESÓPOLIS,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,35,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR,123077,N
